fighter,mma_record,height,weight,reach,stance,dob,sig_str_per_min,sig_str_acc,sig_str_absorbed_per_min,sig_str_def,td_avg,td_acc,td_def,sub_avg
Elisha Helsper,Record: 0-4-0,167.6,Bantamweight,,Orthodox,1983-02-06,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Elizabeth Phillips,Record: 6-6-0,167.6,Bantamweight,165.1,Orthodox,1986-08-20,2.60,33%,3.07,58%,0.75,25%,53%,0.2
Elizeu Zaleski dos Santos,Record: 24-7-0,180.3,Welterweight,185.4,Orthodox,1986-12-11,4.48,41%,3.10,58%,0.47,14%,65%,0.4
Elves Brener,Record: 14-3-0,177.8,Lightweight,182.9,Orthodox,1997-09-27,4.60,43%,4.67,58%,0.00,0%,100%,0.0
Elvis Mutapcic,Record: 15-6-1,182.9,Middleweight,182.9,Orthodox,1986-07-19,3.41,40%,4.27,38%,0.00,0%,81%,0.0
Elvis Sinosic,Record: 7-11-2,190.5,Lightheavyweight,195.6,Orthodox,1971-02-13,1.13,37%,4.60,53%,0.00,0%,0%,1.2
Emanuel Newton,Record: 26-12-1,185.4,Lightheavyweight,,,1984-01-02,1.92,49%,1.35,51%,2.02,100%,0%,0.0
Emil Meek,Record: 9-5-1 (1 NC),180.3,Welterweight,188.0,Switch,1988-08-20,2.52,39%,2.53,38%,0.25,33%,47%,1.0
Emiliano Linares,Record: 8-2-0,172.7,Featherweight,182.9,Orthodox,1997-04-21,1.17,28%,3.59,26%,0.00,0%,33%,0.0
Emiliano Sordi,Record: 16-7-0,188.0,Lightheavyweight,,Orthodox,1991-02-15,4.79,50%,4.79,48%,0.00,0%,100%,8.3
Emilio Chavez,Record: 12-9-0,175.3,Featherweight,,,,2.73,48%,1.53,54%,3.00,50%,0%,0.0
Emilio Cuellar,Record: 6-1-0,,Flyweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Emily Ducote,Record: 12-8-0,157.5,Flyweight,160.0,Orthodox,1994-01-01,6.64,46%,8.38,54%,0.00,0%,90%,0.0
Emily Fernandez,Record: 0-0-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Emily Kagan,Record: 3-3-0,160.0,Flyweight,,,1981-07-14,2.60,36%,5.29,38%,1.86,14%,50%,0.0
Emily Whitmire,Record: 4-5-0,165.1,Flyweight,160.0,Orthodox,1991-05-24,2.50,31%,2.98,54%,1.90,66%,70%,0.5
Emmanuel Sanchez,Record: 15-3-0,175.3,Featherweight,180.3,,1990-08-11,4.45,35%,4.17,55%,0.25,6%,16%,0.5
Emmanuel Yarborough,Record: 1-2-0,203.2,Heavyweight,,Open Stance,1960-09-05,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Emrah Sonmez,Record: 14-4-0,,Featherweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Enrique Barzola,Record: 17-5-2,170.2,Featherweight,177.8,Orthodox,1989-04-28,3.91,41%,2.97,68%,4.20,45%,66%,0.3
Enrique Marin,Record: 10-4-0,177.8,Welterweight,,,1986-09-02,1.43,33%,3.00,50%,2.50,38%,60%,1.0
Enrique Watson,Record: 3-1-0,,Middleweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Enson Inoue,Record: 12-8-0,177.8,Lightheavyweight,,Orthodox,1967-04-15,1.70,63%,1.88,30%,0.00,0%,33%,0.0
Eperaim Ginting,Record: 6-1-0,162.6,Bantamweight,162.6,Orthodox,1995-11-30,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Eric Bedard,Record: 6-7-0,188.0,Heavyweight,,,1984-09-11,6.37,35%,8.54,52%,0.00,0%,0%,0.0
Eric Castile,Record: 3-2-0,172.7,Featherweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Eric Esch,Record: 15-10-1,180.3,Heavyweight,,Orthodox,1968-08-03,3.07,71%,1.74,43%,0.00,0%,0%,2.0
Eric Galvan,Record: 0-0-0,,Lightweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Eric Irvin,Record: 11-4-0,172.7,Lightweight,,,1986-01-10,3.27,42%,4.47,36%,4.00,30%,33%,0.0
Eric Jacob,Record: 1-9-0,,Lightweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Eric Lawson,Record: 9-5-0,182.9,Middleweight,,Orthodox,,1.58,57%,1.97,44%,8.88,42%,0%,3.0
Eric Magana,Record: 1-1-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Eric Martin,Record: 0-1-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Eric Schafer,Record: 14-8-2,190.5,Middleweight,193.0,Orthodox,1977-09-20,1.89,34%,3.38,56%,1.81,36%,50%,1.8
Eric Schambari,Record: 15-6-0,180.3,Middleweight,,Orthodox,1978-04-22,1.43,42%,1.07,54%,3.00,42%,0%,1.0
Eric Schwartz,Record: 2-0-0,,Lightheavyweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Eric Shelton,Record: 12-6-0,167.6,Flyweight,172.7,Orthodox,1991-02-02,2.57,42%,1.88,63%,2.83,51%,46%,0.2
Eric Smith,Record: 1-1-0,,,,Southpaw,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Eric Spicely,Record: 12-6-0,185.4,Middleweight,185.4,Orthodox,1986-09-29,3.71,45%,5.72,55%,1.31,20%,75%,1.0
Eric Steenberg,Record: 5-1-0,,Lightweight,,,1983-06-22,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Eric Wisely,Record: 26-9-1,172.7,Featherweight,,Southpaw,1984-07-25,1.42,47%,2.08,56%,0.00,0%,27%,0.9
Eric Wray,Record: 5-1-0,182.9,Welterweight,,Orthodox,,1.76,48%,3.12,28%,4.07,66%,0%,2.0
Erick Gonzalez,Record: 14-8-0,180.3,Lightweight,190.5,Orthodox,1992-01-20,2.40,36%,8.08,40%,6.00,55%,50%,0.0
Erick Montano,Record: 7-5-0,182.9,Welterweight,185.4,Orthodox,1985-11-19,2.79,44%,2.06,64%,2.29,36%,66%,0.0
Erick Sanchez,Record: 8-3-0,177.8,Featherweight,,,1990-10-04,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Erick Silva,Record: 19-9-0 (1 NC),182.9,Welterweight,188.0,Orthodox,1984-06-21,2.50,48%,4.18,49%,0.85,35%,56%,1.4
Erick Wanderlei,Record: 3-3-0,185.4,Lightheavyweight,,Orthodox,,0.63,41%,2.66,40%,3.80,66%,0%,1.9
Ericka Almeida,Record: 7-3-0,167.6,Flyweight,,Orthodox,1989-03-05,1.07,39%,3.33,43%,0.50,33%,37%,0.0
Erik Apple,Record: 10-3-0,182.9,Welterweight,,Orthodox,1977-08-26,0.00,0%,0.54,81%,0.00,0%,0%,8.1
Erik Koch,Record: 16-6-0,177.8,Welterweight,180.3,Southpaw,1988-10-04,2.33,42%,2.82,47%,1.02,42%,81%,1.0
Erik Perez,Record: 17-6-0,172.7,Bantamweight,172.7,Orthodox,1989-11-19,3.16,40%,2.09,66%,3.16,55%,69%,0.2
Erik Silva,Record: 9-2-0,175.3,Featherweight,180.3,Orthodox,1987-03-16,2.17,71%,1.58,40%,3.94,80%,71%,0.0
Erin Blanchfield,Record: 11-1-0,162.6,Flyweight,167.6,Orthodox,1999-05-04,6.06,54%,3.22,61%,3.76,63%,77%,1.6
Erisson Ferreira,Record: 12-2-0,167.6,Flyweight,177.8,Orthodox,1991-05-03,1.75,32%,2.75,56%,1.11,100%,66%,1.7
Ernest Chavez,Record: 10-2-0,172.7,Featherweight,177.8,Orthodox,1983-06-27,2.79,40%,3.89,59%,0.89,33%,50%,0.0
Ernie Verdicia,Record: 0-1-0,180.3,Middleweight,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Errol Zimmerman,Record: 0-1-0,190.5,Middleweight,,Orthodox,1986-04-20,2.95,42%,0.00,0%,0.00,0%,0%,0.0
Eryk Anders,Record: 15-8-0 (1 NC),185.4,Middleweight,190.5,Southpaw,1987-04-21,3.56,47%,4.39,50%,1.54,24%,79%,0.1
Esteban Ribovics,Record: 11-1-0,177.8,Lightweight,175.3,Orthodox,1996-04-27,4.79,47%,3.09,56%,0.00,0%,47%,0.9
Estefani Almeida,Record: 7-3-0,162.6,Flyweight,,Orthodox,1988-10-17,3.13,37%,6.07,42%,0.00,0%,0%,0.0
Estevan Payan,Record: 16-12-0 (1 NC),177.8,Featherweight,,Orthodox,1982-03-14,4.25,42%,3.58,57%,0.36,100%,60%,0.4
Eugene Jackson,Record: 15-9-1,172.7,Middleweight,,Orthodox,1966-09-23,2.19,33%,3.44,32%,1.91,71%,16%,2.3
Eugenio Tadeu,Record: 2-3-0 (1 NC),172.7,Lightweight,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Eun Soo Lee,Record: 17-4-0 (1 NC),185.4,Lightheavyweight,,Orthodox,1982-03-07,0.00,0%,3.05,60%,0.00,0%,50%,0.0
Evan Dunham,Record: 18-9-1,177.8,Lightweight,177.8,Southpaw,1981-12-18,5.33,39%,3.54,61%,1.82,33%,79%,1.0
Evan Elder,Record: 7-2-0,177.8,Lightweight,182.9,Switch,1997-04-11,3.78,48%,5.42,43%,0.59,12%,28%,0.0
Evan Esguerra,Record: 8-7-0 (1 NC),,Featherweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Evan Tanner,Record: 32-8-0,182.9,Middleweight,188.0,Orthodox,1971-02-11,3.05,59%,2.64,56%,2.55,43%,25%,1.3
Evangelista Santos,Record: 21-18-0,177.8,Welterweight,193.0,Orthodox,1977-12-12,3.94,36%,6.01,49%,0.78,100%,50%,0.4
Everett Cummings,Record: 12-0-0,,Lightheavyweight,,,,0.43,60%,4.34,45%,0.00,0%,0%,2.2
Everett Sims,Record: 4-1-0,195.6,Heavyweight,195.6,Southpaw,1988-09-04,0.81,66%,2.19,30%,0.00,0%,42%,1.2
Ewerton Teixeira,Record: 3-1-0,185.4,Heavyweight,,,1982-02-13,2.00,39%,3.22,35%,0.00,0%,33%,0.0
Fabian Gonzalez,Record: 2-1-0,177.8,Bantamweight,,,,3.90,48%,4.39,51%,0.00,0%,66%,0.0
Fabiano Iha,Record: 9-5-0,172.7,Lightweight,,Orthodox,1970-07-28,1.73,47%,2.49,42%,2.88,40%,50%,2.9
Fabiano Scherner,Record: 11-10-0 (3 NC),190.5,Heavyweight,,Orthodox,1972-06-30,1.31,31%,3.20,38%,1.09,33%,40%,0.0
Fabio Aguiar,Record: 17-1-0,182.9,Middleweight,,,1988-02-10,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Fabio Cherant,Record: 7-4-0,185.4,Lightheavyweight,188.0,Southpaw,1994-11-25,1.35,40%,4.89,38%,0.00,0%,0%,0.0
Fabio Gurgel,Record: 3-2-0,182.9,Lightheavyweight,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Fabio Maldonado,Record: 23-11-0,185.4,Lightheavyweight,190.5,Orthodox,1980-03-17,5.29,58%,4.31,53%,0.44,57%,61%,0.6
Fabio Mello,Record: 11-8-0,165.1,Lightweight,,Southpaw,,0.86,35%,3.94,50%,0.00,0%,0%,0.0
Fabio Nascimento,Record: 11-6-0,177.8,Middleweight,,Orthodox,,2.94,38%,4.63,55%,0.00,0%,55%,0.8
Fabio Silva,Record: 1-8-0,180.3,Lightheavyweight,,Orthodox,1982-03-31,0.09,11%,5.90,38%,0.00,0%,0%,0.0
Fabiola Pidroni,Record: 5-0-0,,Flyweight,,,1994-01-04,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Fabricio Camoes,Record: 14-9-1,177.8,Lightweight,180.3,Orthodox,1978-12-23,1.29,33%,1.85,61%,2.34,32%,20%,1.5
Fabricio Guerreiro,Record: 21-5-0 (1 NC),177.8,Featherweight,,,1990-07-24,1.87,31%,2.20,67%,2.00,50%,0%,0.0
Fabricio Werdum,Record: 24-9-1,193.0,Heavyweight,195.6,Orthodox,1977-07-30,3.59,52%,2.64,55%,1.75,31%,31%,1.2
Falaniko Vitale,Record: 30-11-0,177.8,Middleweight,,Orthodox,1974-07-14,1.88,49%,3.68,47%,0.72,33%,86%,0.0
Fares Ziam,Record: 13-4-0,185.4,Lightweight,190.5,Orthodox,1997-03-21,2.52,44%,1.70,66%,0.96,25%,70%,0.0
Farid Basharat,Record: 10-0-0,172.7,Bantamweight,180.3,Orthodox,1997-08-02,5.80,63%,2.43,60%,3.00,60%,83%,0.0
Fazlo Mulabitinovic,Record: 4-2-0,,Bantamweight,,,,0.54,16%,0.00,100%,0.00,0%,0%,8.0
Federico Lopez,Record: 10-6-0,162.6,Bantamweight,,Orthodox,,1.78,23%,5.35,30%,0.00,0%,0%,0.0
Fedor Emelianenko,Record: 36-5-0 (1 NC),182.9,Heavyweight,188.0,Orthodox,1976-09-28,3.18,51%,1.00,63%,2.00,63%,82%,1.9
Fedor Nikolov,Record: 0-0-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Felice Herrig,Record: 14-10-0,162.6,Flyweight,165.1,Orthodox,1984-09-18,3.84,37%,5.19,48%,1.08,28%,75%,0.8
Felicia Spencer,Record: 9-3-0,167.6,Featherweight,172.7,Orthodox,1990-11-29,3.21,48%,4.54,45%,1.18,18%,27%,0.2
Felipe Arantes,Record: 18-10-1 (2 NC),172.7,Bantamweight,185.4,Orthodox,1988-02-09,2.37,45%,2.66,64%,0.93,47%,41%,0.7
Felipe Bunes,Record: 13-6-0,170.2,Flyweight,175.3,Orthodox,1989-10-29,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Felipe Colares,Record: 10-4-0,172.7,Featherweight,175.3,Orthodox,1994-03-31,2.17,45%,4.65,36%,1.88,24%,43%,0.5
Felipe Olivieri,Record: 14-5-0 (1 NC),175.3,Lightweight,,Orthodox,1985-04-12,6.68,58%,4.60,57%,0.00,0%,71%,0.0
Felipe Pena,Record: 0-0-0,,,,,1991-10-19,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Felipe Portela,Record: 9-2-0,,Welterweight,,,1987-11-23,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Felipe Silva,Record: 8-2-0,182.9,Lightweight,195.6,Orthodox,1984-05-08,5.40,50%,1.80,59%,1.00,100%,71%,0.0
Felipe dos Santos,Record: 7-0-0,,Flyweight,,,2000-09-11,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Felix Klinkhammer,Record: 7-0-0,182.9,Welterweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Felix Lee Mitchell,Record: 2-7-0,,,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Fellipe Andrew,Record: 0-0-0,,,,,1994-10-24,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Feng Pengchao,Record: 15-9-1,,Bantamweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Fernando Bettega,Record: 7-5-0,,Welterweight,,,1980-03-10,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Fernando Bruno,Record: 15-4-0,167.6,Featherweight,,,1982-02-24,1.75,39%,1.78,48%,2.02,22%,56%,0.5
Fernando Gonzalez,Record: 26-14-0,175.3,Welterweight,172.7,Southpaw,1983-09-15,4.47,47%,4.03,65%,0.86,33%,43%,1.4
Fernando Padilla,Record: 15-4-0,185.4,Featherweight,193.0,Orthodox,1996-12-15,11.88,68%,8.91,37%,0.00,0%,100%,0.0
Fernie Garcia,Record: 10-3-0,170.2,Bantamweight,170.2,Orthodox,1992-04-12,2.18,39%,2.83,54%,0.47,50%,61%,0.5
Filip Pejic,Record: 12-2-2,172.7,Bantamweight,,Orthodox,1992-07-21,0.00,0%,0.88,33%,0.00,0%,0%,0.0
Fiona Muxlow,Record: 6-3-0,162.6,Featherweight,,,1977-05-13,1.44,27%,5.45,34%,0.00,0%,0%,0.0
Flavio Luiz Moura,Record: 19-7-0,180.3,Welterweight,,Open Stance,,0.67,16%,0.00,0%,0.00,0%,0%,0.0
Floyd Sword,Record: 12-3-0,182.9,Middleweight,,Orthodox,1976-08-24,0.78,42%,1.57,40%,0.00,0%,33%,0.0
Forrest Griffin,Record: 19-7-0,190.5,Lightheavyweight,195.6,Orthodox,1979-03-16,4.38,36%,2.81,61%,1.05,48%,57%,0.7
Forrest Petz,Record: 26-10-0,175.3,Welterweight,180.3,Orthodox,1975-09-22,2.27,29%,2.20,57%,1.30,100%,66%,0.0
Francesco Maturi,Record: 0-1-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Francimar Barroso,Record: 19-7-0 (1 NC),185.4,Lightheavyweight,190.5,Orthodox,1980-02-28,2.77,52%,3.07,59%,2.22,24%,83%,0.0
Francis Carmont,Record: 25-12-0,190.5,Lightheavyweight,198.1,Orthodox,1981-10-11,2.22,42%,1.64,59%,1.79,36%,73%,0.6
Francis Marshall,Record: 7-1-0,175.3,Featherweight,182.9,Orthodox,1999-03-03,4.08,33%,3.64,57%,3.73,50%,0%,0.8
Francis Ngannou,Record: 17-3-0,193.0,Heavyweight,210.8,Orthodox,1986-09-05,2.33,41%,2.16,41%,0.76,62%,71%,0.3
Francisco Bueno,Record: 5-2-0,175.3,Heavyweight,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Francisco Figueiredo,Record: 13-5-1 (1 NC),167.6,Flyweight,172.7,Southpaw,1989-10-23,2.04,61%,2.59,61%,2.51,75%,76%,0.4
Francisco France,Record: 13-5-1,182.9,Lightheavyweight,,,1983-01-21,0.54,33%,3.51,27%,0.00,0%,0%,6.1
Francisco Prado,Record: 11-1-0,177.8,Lightweight,175.3,Orthodox,2002-06-16,1.87,37%,3.93,43%,0.00,0%,25%,1.0
Francisco Rivera,Record: 11-7-0 (1 NC),172.7,Bantamweight,177.8,Orthodox,1981-10-08,4.07,41%,3.16,68%,1.01,63%,68%,0.6
Francisco Trevino,Record: 13-3-0,175.3,Lightweight,177.8,Orthodox,1981-12-17,2.65,42%,2.42,64%,0.97,22%,41%,0.0
Francisco Trinaldo,Record: 28-9-0,175.3,Welterweight,177.8,Southpaw,1978-08-24,3.13,45%,2.67,60%,0.98,42%,60%,0.5
Francois Botha,Record: 0-1-0,188.0,Heavyweight,,Orthodox,1968-09-28,0.00,0%,1.05,77%,0.00,0%,0%,0.0
Frank Camacho,Record: 22-10-0,177.8,Lightweight,185.4,Orthodox,1989-05-18,6.56,46%,7.44,51%,1.11,31%,73%,0.0
Frank Caracci,Record: 2-3-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Frank Gomez,Record: 10-6-0,177.8,Bantamweight,170.2,Orthodox,1986-03-31,1.52,48%,0.79,66%,1.14,60%,70%,0.8
Frank Hamaker,Record: 1-0-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Frank Lester,Record: 11-6-0 (1 NC),180.3,Welterweight,,Orthodox,1984-06-10,2.18,36%,3.82,53%,0.00,0%,0%,0.0
Frank Megallon,Record: 2-3-0,177.8,Middleweight,,Southpaw,,1.14,21%,5.32,54%,0.00,0%,0%,0.0
Frank Mir,Record: 18-11-0,190.5,Heavyweight,200.7,Southpaw,1979-05-24,2.18,47%,3.84,38%,2.02,40%,54%,2.0
Frank Shamrock,Record: 23-10-2,177.8,Middleweight,,Orthodox,1972-12-08,4.75,53%,4.66,57%,0.35,50%,37%,1.1
Frank Trigg,Record: 21-9-0,175.3,Welterweight,180.3,Southpaw,1972-05-07,2.79,46%,1.90,56%,2.35,47%,75%,0.8
Frankie Edgar,Record: 23-11-1,167.6,Bantamweight,172.7,Orthodox,1981-10-16,3.77,40%,2.82,65%,2.29,31%,65%,0.3
Frankie Perez,Record: 10-4-0,180.3,Lightweight,185.4,Orthodox,1989-05-11,1.64,41%,2.17,54%,1.75,41%,50%,0.3
Frankie Saenz,Record: 13-7-0,167.6,Bantamweight,167.6,Orthodox,1980-08-12,3.94,47%,3.50,52%,1.74,31%,61%,0.1
Fred Ettish,Record: 1-1-0,182.9,Welterweight,,Southpaw,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Frederick Brown,Record: 3-2-0,182.9,Heavyweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Fredson Paixao,Record: 10-5-0 (1 NC),167.6,Featherweight,167.6,Orthodox,1979-05-13,1.71,54%,2.31,62%,0.62,11%,10%,2.2
Fredy Serrano,Record: 3-2-0,160.0,Flyweight,165.1,Orthodox,1979-09-22,1.58,26%,1.89,61%,2.84,25%,84%,0.0
Gabe Green,Record: 11-5-0,177.8,Welterweight,185.4,Switch,1993-05-02,6.28,45%,6.95,47%,0.83,50%,53%,0.3
Gabe Lemley,Record: 13-9-0,172.7,Lightweight,,Orthodox,,0.82,35%,6.03,45%,0.00,0%,0%,0.0
Gabe Ruediger,Record: 18-8-0,177.8,Lightweight,,Orthodox,1977-08-29,1.70,31%,5.16,41%,2.04,11%,28%,0.0
Gabriel Arges,Record: 0-0-0,,Welterweight,,,1993-01-29,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Gabriel Benitez,Record: 23-11-0,172.7,Lightweight,180.3,Southpaw,1988-06-15,4.79,41%,4.05,65%,0.27,50%,58%,1.1
Gabriel Bonfim,Record: 14-0-0,185.4,Welterweight,182.9,Orthodox,1997-08-20,6.95,38%,5.76,65%,2.98,100%,100%,6.0
Gabriel Carrasco,Record: 7-0-0,167.6,Bantamweight,,,,4.15,37%,1.53,80%,0.00,0%,100%,0.0
Gabriel Checco,Record: 10-2-0,185.4,Middleweight,,Switch,1986-04-03,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Gabriel Gonzaga,Record: 17-11-0,188.0,Heavyweight,193.0,Orthodox,1979-05-18,2.12,45%,2.94,57%,2.80,39%,66%,1.1
Gabriel Miglioli,Record: 9-9-0,172.7,Welterweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Gabriel Miranda,Record: 16-6-0,180.3,Lightweight,180.3,Orthodox,1990-03-25,3.80,54%,7.97,37%,2.85,33%,0%,0.0
Gabriel Salinas-Jones,Record: 5-2-1,185.4,Heavyweight,,,1984-11-20,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Gabriel Santos,Record: 10-1-0,175.3,Featherweight,177.8,Orthodox,1996-11-28,4.60,56%,6.20,42%,5.00,45%,50%,0.0
Gabriel Silva,Record: 8-2-0,167.6,Bantamweight,180.3,Orthodox,1994-08-26,1.30,34%,3.47,45%,1.50,25%,38%,0.5
Gabriella Fernandes,Record: 8-3-0,167.6,Flyweight,167.6,Southpaw,1993-08-13,1.63,47%,2.70,47%,0.00,0%,61%,0.0
Gabrielle Holloway,Record: 6-5-0,160.0,Featherweight,,,1990-04-15,0.70,42%,3.07,34%,3.00,35%,16%,1.0
Gadzhi Omargadzhiev,Record: 13-2-0,185.4,Welterweight,180.3,Switch,1993-02-24,1.80,39%,2.20,39%,1.35,30%,60%,0.5
Gadzhimurad Antigulov,Record: 20-8-0,180.3,Lightheavyweight,177.8,Orthodox,1987-02-09,2.08,55%,4.21,40%,5.08,36%,0%,1.4
Gaetano Pirrello,Record: 15-7-1,170.2,Bantamweight,165.1,Orthodox,1992-04-29,0.99,55%,2.44,42%,0.00,0%,30%,0.0
Galore Bofando,Record: 5-3-0,180.3,Welterweight,182.9,Switch,1982-05-22,3.63,45%,3.63,54%,2.37,100%,50%,0.0
Gan McGee,Record: 13-5-0,208.3,Heavyweight,,Orthodox,1976-11-20,2.20,29%,2.31,59%,0.65,25%,83%,0.0
Gareth Joseph,Record: 9-5-0,,Lightheavyweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Garett Whiteley,Record: 7-3-0,182.9,Lightweight,182.9,Orthodox,1980-12-13,3.72,48%,4.04,46%,0.00,0%,27%,0.9
Garreth McLellan,Record: 13-6-0,185.4,Middleweight,182.9,Southpaw,1982-09-01,3.56,54%,2.94,45%,1.15,22%,34%,0.9
Garrett Armfield,Record: 8-3-0,167.6,Bantamweight,177.8,Orthodox,1996-10-09,2.56,29%,3.53,59%,0.00,0%,66%,0.0
Garrett Gross,Record: 11-7-0,175.3,Lightweight,,Orthodox,1988-08-08,2.39,45%,1.67,46%,0.00,0%,52%,0.0
Garrett Mueller,Record: 3-3-0,175.3,Bantamweight,,,1989-01-29,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Gary Frazier,Record: 3-3-0,182.9,Heavyweight,,Orthodox,,1.50,39%,2.77,46%,0.00,0%,100%,0.0
Gary Goodridge,Record: 23-22-1,190.5,Heavyweight,,Orthodox,1966-01-17,1.84,56%,2.14,48%,0.40,100%,53%,0.8
Gary Mangat,Record: 15-3-0,170.2,Bantamweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Gary Padilla,Record: 12-6-0,180.3,Lightheavyweight,,,1980-05-04,2.20,27%,2.00,76%,0.00,0%,50%,0.0
Gary Quan,Record: 3-5-0,172.7,Bantamweight,,,1971-04-11,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Gary Tapusoa,Record: 8-3-0,170.2,Middleweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Gasan Umalatov,Record: 17-4-2,180.3,Welterweight,180.3,Orthodox,1982-09-11,2.23,39%,4.10,59%,0.75,17%,90%,0.0
Gaston Bolanos,Record: 7-3-0,170.2,Bantamweight,175.3,Orthodox,1992-09-14,4.20,49%,1.13,56%,0.00,0%,40%,0.0
Gaston Reyno,Record: 6-2-0 (2 NC),182.9,Featherweight,,,1986-11-11,7.79,62%,3.90,44%,0.00,0%,0%,11.7
Gavin Tucker,Record: 13-2-0,167.6,Featherweight,167.6,Southpaw,1986-06-17,4.39,45%,4.28,57%,2.98,42%,53%,1.5
Geane Herrera,Record: 9-3-0,165.1,Flyweight,167.6,Orthodox,1990-05-27,1.51,31%,5.07,52%,0.83,37%,38%,0.6
Gegard Mousasi,Record: 42-6-2,188.0,Middleweight,193.0,Orthodox,1985-08-01,3.75,50%,1.21,68%,1.59,60%,59%,1.1
Genaro Valdez,Record: 10-2-0,175.3,Lightweight,182.9,Orthodox,1992-01-16,3.96,32%,7.63,47%,2.50,44%,40%,0.6
Genki Sudo,Record: 15-4-2,175.3,Lightweight,,Orthodox,1978-03-08,1.55,39%,2.23,33%,3.58,60%,50%,4.2
Gennaro Strangis,Record: 0-1-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Geoff Neal,Record: 15-5-0,180.3,Welterweight,190.5,Southpaw,1990-08-28,5.22,50%,5.60,58%,0.51,44%,87%,0.1
George Allen,Record: 13-19-2,188.0,Lightheavyweight,,Open Stance,1967-01-13,0.80,38%,3.10,43%,0.00,0%,50%,0.0
George Bush,Record: 5-2-0,185.4,Lightheavyweight,,,,6.35,64%,2.31,55%,17.31,66%,0%,0.0
George Hardwick,Record: 12-1-0,,Lightweight,,,1996-12-06,0.00,0%,0.00,0%,0.00,0%,0%,0.0
George Pacurariu,Record: 10-5-0,170.2,Bantamweight,,,1984-07-28,4.69,53%,2.68,63%,5.03,100%,100%,5.0
George Roop,Record: 15-13-1,185.4,Bantamweight,182.9,Orthodox,1981-11-10,3.43,34%,2.47,60%,1.05,57%,59%,0.1
George Sotiropoulos,Record: 14-7-0,177.8,Lightweight,180.3,Orthodox,1977-07-09,2.61,27%,2.52,67%,2.32,31%,53%,1.6
George Stork,Record: 7-9-0,177.8,Middleweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
George Sullivan,Record: 17-7-0 (1 NC),182.9,Welterweight,185.4,Orthodox,1981-03-13,3.53,39%,2.42,57%,1.37,20%,38%,0.7
George Zuniga,Record: 3-1-0,175.3,Middleweight,,,,7.64,38%,5.45,37%,0.00,0%,100%,0.0
